#{"t_start": 1765984810.0664325, "env_id": "None"}
r,l,t
284.537186,199,383.228297
281.522111,199,383.596752
285.542211,199,383.978283
258.004523,199,384.361238
262.024623,199,391.777465
243.532161,199,392.175722
252.929146,199,392.556432
278.507035,199,392.930295
249.411558,199,393.304377
260.466834,199,393.753343
257.451759,199,394.138425
263.984422,199,394.543907
250.969347,199,394.925742
261.471859,199,395.325168
272.024623,199,402.420696
282.527136,199,402.774996
266.999497,199,403.131851
281.019598,199,403.472373
268.507035,199,403.791685
263.431658,199,404.115762
272.979397,199,404.433944
263.984422,199,404.767529
254.939196,199,405.201125
282.527136,199,405.533271
256.949246,199,405.90154
273.029648,199,413.104615
283.532161,199,413.475437
265.994472,199,413.831662
282.527136,199,414.187654
285.039698,199,414.529242
272.527136,199,414.892178
284.537186,199,415.233252
279.51206,199,415.574895
269.51206,199,415.940948
283.532161,199,416.304363
274.034673,199,423.170913
259.964322,199,423.547896
274.034673,199,423.919269
284.537186,199,424.294892
281.019598,199,424.641241
287.552261,199,424.976355
287.049749,199,425.309548
276.547236,199,425.729286
287.552261,199,426.095604
275.039698,199,426.452495
281.019598,199,433.296658
285.542211,199,433.650831
279.51206,199,434.013802
244.989447,199,434.368666
277.50201,199,434.703536
264.486935,199,435.092333
273.532161,199,435.447344
258.507035,199,435.791418
268.456784,199,436.144371
268.507035,199,436.497816
276.999497,199,443.415949
284.537186,199,443.786156
246.496985,199,444.137532
280.517085,199,444.481274
270.466834,199,444.831906
270.969347,199,445.173272
287.552261,199,445.50844
255.49196,199,445.845828
263.984422,199,446.192815
284.034673,199,446.550763
268.507035,199,446.893309
284.537186,199,453.768846
271.019598,199,454.179368
271.522111,199,454.536335
281.522111,199,454.894076
283.532161,199,455.240365
285.039698,199,455.626838
273.532161,199,456.013259
282.527136,199,456.476519
284.537186,199,456.839297
285.542211,199,457.183025
288.054774,199,464.034335
277.50201,199,464.490712
265.039698,199,464.849601
281.019598,199,465.226972
274.034673,199,465.573162
279.009548,199,465.923287
272.527136,199,466.274008
272.527136,199,466.632309
274.537186,199,466.970502
283.532161,199,467.315927
269.009548,199,474.146518
284.034673,199,474.494951
276.999497,199,474.859377
251.471859,199,475.20365
266.999497,199,475.540257
245.391457,199,475.872383
273.48191,199,476.204215
275.994472,199,476.527578
263.48191,199,476.848902
261.974372,199,477.173115
263.48191,199,477.511809
275.542211,199,484.719617
268.507035,199,485.104533
281.522111,199,485.54495
266.999497,199,485.920375
259.964322,199,486.280323
252.979397,199,486.624556
272.979397,199,486.972333
277.50201,199,487.372828
257.451759,199,487.752952
266.496985,199,488.11192
275.039698,199,495.156133
263.029648,199,495.546911
283.532161,199,495.901234
283.532161,199,496.250046
274.034673,199,496.597245
279.009548,199,496.949121
278.507035,199,497.305131
257.50201,199,497.675329
273.984422,199,498.028117
267.50201,199,498.373981
261.471859,199,505.247867
273.984422,199,505.610152
270.014573,199,505.956941
278.507035,199,506.296604
264.537186,199,506.636932
278.004523,199,506.975461
264.989447,199,507.319767
262.024623,199,507.667445
274.486935,199,508.042199
281.019598,199,508.402431
280.517085,199,515.370185
252.024623,199,515.739988
272.024623,199,516.155966
279.51206,199,516.567021
273.029648,199,516.939593
253.48191,199,517.402433
279.009548,199,517.757172
259.51206,199,518.151871
264.989447,199,518.523509
250.969347,199,518.907548
271.019598,199,519.272392
